DEPTH,SWOB,STOR,RPM,SPPA,SMSE,TFLO,ECD,Formation,ROP5
2427.5371,14.3337,6.7791,40,13306.61,1.6884,2775.691,1500.823,Dawson Canyon Formation,4.8685
2429.7649,1.2809,13.2328,99,12618.78,15.0119,2819.716,1467.436,Dawson Canyon Formation,15.8604
2430.2273,2.6199,14.1276,81,13522.76,11.9149,3000.393,1466.613,Dawson Canyon Formation,22.31
2430.7432,2.5669,13.9649,82,13537.1,9.0085,2978.816,1467.561,Dawson Canyon Formation,27.7772
2431.4077,3.6538,16.5139,81,13529.93,7.8089,3003.081,1467.761,Dawson Canyon Formation,32.4092
2432.166,2.431,15.9851,78,13531.51,6.921,2988.697,1468.295,Dawson Canyon Formation,42.0161
2432.8196,0.6854,12.1617,81,13512.69,15.1515,3035.446,1467.07,Dawson Canyon Formation,29.5946
2433.2854,1.7265,13.5175,81,13508.69,10.3811,3017.466,1466.96,Dawson Canyon Formation,26.3219
2433.8711,2.3083,14.8327,82,13510.07,8.4881,3005.806,1466.821,Dawson Canyon Formation,24.4529
2434.4495,3.053,15.9987,81,13505.31,8.6495,3003.99,1467.398,Dawson Canyon Formation,32.7973
2435.0645,3.89,16.6766,80,13504.28,7.782,2977.037,1466.895,Dawson Canyon Formation,37.3998
2435.3816,2.4001,13.0294,83,13474.42,16.1135,3021.062,1466.107,Dawson Canyon Formation,30.2746
2435.8188,2.8445,15.253,82,13446.09,12.7318,2982.413,1465.29,Dawson Canyon Formation,28.1709
2436.4143,4.4425,16.9884,80,13428.78,8.9959,3009.403,1464.079,Dawson Canyon Formation,27.1694
2436.947,3.7602,16.4596,81,13422.92,10.1721,3041.73,1464.31,Dawson Canyon Formation,31.8522
2437.4036,2.8674,13.3955,81,13386.03,11.413,3009.403,1461.706,Dawson Canyon Formation,31.5846
2438.7104,0.3425,14.3581,79,13568.05,12.9057,3075.004,1450.703,Dawson Canyon Formation,26.8639
2439.3857,3.2522,15.9851,80,13565.57,8.5001,3077.691,1449.119,Dawson Canyon Formation,31.7406
2439.9719,1.5822,16.4868,79,13532.62,8.9109,3058.84,1447.556,Dawson Canyon Formation,33.245
2440.6602,3.2468,17.6256,78,13496.14,7.0391,3069.628,1447.395,Dawson Canyon Formation,39.2455
