~Version
 VERS.        2.00                          :CWLS Log Ascii Standard - Version 2.0
 WRAP.        NO                            :One line per depth step
~Well
#MNEM.UNIT       Data Type                        Information
#---------       ---------                        -------------------------------
 STRT.M       2450.00000                                                  :START DEPTH
 STOP.M       5889.97280                                                  :STOP DEPTH
 STEP.M       0.15240                                                     :INCREMENT
 NULL.        -999.25000                                                  :NULL DATA VALUE
 COMP.        HMDC  ExxonMobil Canada  			                  :COMPANY
 WELL.        B-16 38 (OPNN1)                                             :WELL
  FLD.        Hibernia                                                    :FIELD
  LOC.                                                                    :LOCATION
 PROV.        Newfoundland and Labrador                                    :PROVINCE
 STAT.        Newfoundland and Labrador                                    :STATE
 CNTY.                                                                    :COUNTY
 CTRY.        Canada                                                      :COUNTRY
 DATE.        18-Nov-2013                                                 :DATE
  UWI.        821939                                                      :UNIQUE WELL UWI
  LIC.        821939                                                      :LICENSE NUMBER
  API.                                                                    :API NUMBER
 SRVC.        SLB                                                         :SERVICE COMPANY
~Parameter
#MNEM.UNIT    VALUE                         :DESCRIPTION
#----.----    ---------------               :-------------------
 LONG.DEG     -48.781548                    :WELL SURFACE LOCATION
 LATI.DEG     46.750381                     :WELL SURFACE LOCATION
XWELL.DEG     -48.781548                    :X-COORDINATE OF WELL HEAD
YWELL.DEG     46.750381                     :Y-COORDINATE OF WELL HEAD
 PDAT.        MSL                           :PERMANENT DATUM
  EPD.M       0.00                          :ELEVATION OF PERMANENT DATUM (PDAT) ABOVE MEAN SEA LEVEL
  LMF.        DF                            :LOGGING MEASURED FROM (NAME OF WORKING DATUM)
  APD.M       76.00                         :ELEVATION OF WORKING DATUM (LMF) ABOVE PERMANENT DATUM
  EGL.M       -80.00                        :ELEVATION OF GROUND LEVEL ABOVE MEAN SEA LEVEL
  EDF.M       76.00                         :ELEVATION OF DERRICK FLOOR ABOVE MEAN SEA LEVEL
~Curve
#MNEM.UNIT    VALUE                         :DESCRIPTION
#----.----    ---------------               :-------------------
 DEPT.M       00 001 00 00                  :Depth Index
 CHRP.                                      :1       LABEL PEAK COHERENCE, RECEIVER ARRAY, COMPRESSIONAL - MONOPOLE P&S
 CHRS.                                      :2       LABEL PEAK COHERENCE, RECEIVER ARRAY, SHEAR - MONOPOLE P&S
 DTCO.US/M                                  :3       DELTA-T COMPRESSIONAL, MONOPOLE P&S
 DTRP.US/M                                  :4       DELTA-T COMPRESSIONAL, RECEIVER ARRAY - MONOPOLE P&S
 DTSM.US/M                                  :5       DELTA-T SHEAR, MONOPOLE P&S
 DTRS.US/M                                  :6       DELTA-T SHEAR, RECEIVER ARRAY - MONOPOLE P&S
 GR_ARC.GAPI                                :7       ARC GAMMA RAY
 ROP5.M/HR                                  :8       RATE OF PENETRATION AVERAGED OVER THE LAST 5 FT (1_5 M)
~Ascii          DEPT                CHRP                CHRS                DTCO                DTRP                DTSM                DTRS              GR_ARC                ROP5
          2450.00000          -999.25000          -999.25000           312.62274           312.62274          -999.25000          -999.25000           109.88618          -999.25000
          2450.15240          -999.25000          -999.25000           314.96600           314.96600          -999.25000          -999.25000           112.62909          -999.25000
          2450.30480          -999.25000          -999.25000           317.96881           317.96881          -999.25000          -999.25000           116.70175          -999.25000
          2450.45720          -999.25000          -999.25000           320.95325           320.95325          -999.25000          -999.25000           113.86059          -999.25000
          2450.60960          -999.25000          -999.25000           323.72894           323.72894          -999.25000          -999.25000           108.93764          -999.25000
          2450.76200          -999.25000          -999.25000           325.97513           325.97513          -999.25000          -999.25000           108.60146          -999.25000
          2450.91440          -999.25000          -999.25000           327.57764           327.57764          -999.25000          -999.25000           111.64416          -999.25000
          2451.06680          -999.25000          -999.25000           327.50278           327.50278          -999.25000          -999.25000           111.72871          -999.25000
          2451.21920          -999.25000          -999.25000           324.95334           324.95334          -999.25000          -999.25000           106.24740          -999.25000
          2451.37160          -999.25000          -999.25000           319.95990           319.95990          -999.25000          -999.25000           101.40303          -999.25000
          2451.52400          -999.25000          -999.25000           313.22656           313.22656          -999.25000          -999.25000           100.28095          -999.25000
          2451.67640          -999.25000          -999.25000           308.63708           308.63708          -999.25000          -999.25000           105.30855          -999.25000
          2451.82880             0.86746          -999.25000           307.63266           307.63266          -999.25000          -999.25000           108.98997          -999.25000
          2451.98120             0.87507          -999.25000           310.72922           310.72922          -999.25000          -999.25000           105.34606          -999.25000
          2452.13360             0.89448          -999.25000           314.37213           314.37213          -999.25000          -999.25000           107.77895          -999.25000
          2452.28600          -999.25000          -999.25000           315.56012           315.56012          -999.25000          -999.25000           110.08587          -999.25000
          2452.43840          -999.25000          -999.25000           316.47693           316.47693          -999.25000          -999.25000           104.22453          -999.25000
          2452.59080             0.88316          -999.25000           312.60223           312.60223          -999.25000          -999.25000           102.24906          -999.25000
          2452.74320          -999.25000          -999.25000           308.83856           308.83856          -999.25000          -999.25000           104.99034          -999.25000
          2452.89560          -999.25000          -999.25000           303.00623           303.00623          -999.25000          -999.25000           104.83641          -999.25000
          2453.04800          -999.25000          -999.25000           300.27487           300.27487          -999.25000          -999.25000           100.73357          -999.25000
          2453.20040             0.89628          -999.25000           296.85178           296.85178          -999.25000          -999.25000            96.63783          -999.25000
          2453.35280          -999.25000          -999.25000           296.87616           296.87616          -999.25000          -999.25000            95.32017          -999.25000
          2453.50520          -999.25000          -999.25000           294.80057           294.80057          -999.25000          -999.25000            97.18848          -999.25000
          2453.65760          -999.25000          -999.25000           292.15799           292.15799          -999.25000          -999.25000            99.40114          -999.25000
          2453.81000          -999.25000          -999.25000           286.35858           286.35858          -999.25000          -999.25000           101.88373          -999.25000
          2453.96240          -999.25000          -999.25000           283.21747           283.21747          -999.25000          -999.25000           108.03099          -999.25000
          2454.11480          -999.25000          -999.25000           281.89398           281.89398          -999.25000          -999.25000           115.75170          -999.25000
          2454.26720          -999.25000          -999.25000           282.23611           282.23611          -999.25000          -999.25000           121.56620          -999.25000
          2454.41960          -999.25000          -999.25000           286.16125           286.16125          -999.25000          -999.25000           125.27402          -999.25000
          2454.57200          -999.25000          -999.25000           293.18951           293.18951          -999.25000          -999.25000           127.63456          -999.25000
          2454.72440          -999.25000          -999.25000           299.67200           299.67200          -999.25000          -999.25000           129.86432          -999.25000
          2454.87680          -999.25000          -999.25000           303.56293           303.56293          -999.25000          -999.25000           134.46004          -999.25000
          2455.02920          -999.25000          -999.25000           305.23300           305.23300          -999.25000          -999.25000           139.98816          -999.25000
          2455.18160          -999.25000          -999.25000           307.36972           307.36972          -999.25000          -999.25000           145.02795          -999.25000
          2455.33400             0.94245          -999.25000           311.22937           311.22937          -999.25000          -999.25000           149.27606          -999.25000
          2455.48640             0.95165          -999.25000           314.60587           314.60587          -999.25000          -999.25000           147.86748          -999.25000
          2455.63880             0.93398          -999.25000           317.22882           317.22882          -999.25000          -999.25000           142.51224          -999.25000
          2455.79120             0.92080          -999.25000           319.96597           319.96597          -999.25000          -999.25000           138.74387          -999.25000
          2455.94360             0.94730          -999.25000           325.31052           325.31052          -999.25000          -999.25000           136.73662          -999.25000
          2456.09600             0.91855          -999.25000           332.56216           332.56216          -999.25000          -999.25000           135.20142          -999.25000
          2456.24840             0.91496          -999.25000           335.34216           335.34216          -999.25000          -999.25000           133.19849          -999.25000
          2456.40080             0.88083          -999.25000           333.73907           333.73907          -999.25000          -999.25000           132.35355          -999.25000
          2456.55320             0.83730          -999.25000           326.81747           326.81747          -999.25000          -999.25000           134.68367          -999.25000
          2456.70560             0.79714          -999.25000           322.84348           322.84348          -999.25000          -999.25000           140.35426          -999.25000
          2456.85800             0.79458          -999.25000           318.74524           318.74524          -999.25000          -999.25000           148.34451          -999.25000
          2457.01040          -999.25000          -999.25000           318.40710           318.40710          -999.25000          -999.25000           153.87398          -999.25000
          2457.16280          -999.25000          -999.25000           317.46872           317.46872          -999.25000          -999.25000           154.11725          -999.25000
          2457.31520             0.52609          -999.25000           316.44070           316.44070          -999.25000          -999.25000           150.01419          -999.25000
