~Version
 VERS.        2.00                          :CWLS Log Ascii Standard - Version 2.0
 WRAP.        NO                            :One line per depth step
~Well
#MNEM.UNIT       Data Type                        Information
#---------       ---------                        -------------------------------
 STRT.M       1984.00000                                                  :START DEPTH
 STOP.M       3454.96480                                                  :STOP DEPTH
 STEP.M       0.15240                                                     :INCREMENT
 NULL.        -999.25000                                                  :NULL DATA VALUE
 COMP.        HMDC  ExxonMobil Canada  			                  :COMPANY
 WELL.        B-16 38 (OPNN1)                                             :WELL
  FLD.        Hibernia                                                    :FIELD
  LOC.                                                                    :LOCATION
 PROV.        Newfoundlad and Labrador                                    :PROVINCE
 STAT.        Newfoundlad and Labrador                                    :STATE
 CNTY.                                                                    :COUNTY
 CTRY.        Canada                                                      :COUNTRY
 DATE.        18-Nov-2013                                                 :DATE
  UWI.        821939                                                      :UNIQUE WELL UWI
  LIC.        821939                                                      :LICENSE NUMBER
  API.                                                                    :API NUMBER
 SRVC.        SLB                                                         :SERVICE COMPANY
~Parameter
#MNEM.UNIT    VALUE                         :DESCRIPTION
#----.----    ---------------               :-------------------
 LONG.DEG     -48.781548                    :WELL SURFACE LOCATION
 LATI.DEG     46.750381                     :WELL SURFACE LOCATION
XWELL.DEG     -48.781548                    :X-COORDINATE OF WELL HEAD
YWELL.DEG     46.750381                     :Y-COORDINATE OF WELL HEAD
 PDAT.        MSL                           :PERMANENT DATUM
  EPD.M       0.00                          :ELEVATION OF PERMANENT DATUM (PDAT) ABOVE MEAN SEA LEVEL
  LMF.        DF                            :LOGGING MEASURED FROM (NAME OF WORKING DATUM)
  APD.M       76.00                         :ELEVATION OF WORKING DATUM (LMF) ABOVE PERMANENT DATUM
  EGL.M       -80.00                        :ELEVATION OF GROUND LEVEL ABOVE MEAN SEA LEVEL
  EDF.M       76.00                         :ELEVATION OF DERRICK FLOOR ABOVE MEAN SEA LEVEL
~Curve
#MNEM.UNIT    VALUE                         :DESCRIPTION
#----.----    ---------------               :-------------------
 DEPT.M       00 001 00 00                  :Depth Index
 CHRP.                                      :1       LABEL PEAK COHERENCE, RECEIVER ARRAY, COMPRESSIONAL - MONOPOLE P&S
 CHRS.                                      :2       LABEL PEAK COHERENCE, RECEIVER ARRAY, SHEAR - MONOPOLE P&S
 DTCO.US/M                                  :3       DELTA-T COMPRESSIONAL - MONOPOLE P&S
 DTRP.US/M                                  :4       DELTA-T COMPRESSIONAL, RECEIVER ARRAY - MONOPOLE P&S
 DTSM.US/M                                  :5       DELTA-T SHEAR - MONOPOLE P&S
 DTRS.US/M                                  :6       DELTA-T SHEAR, RECEIVER ARRAY - MONOPOLE P&S
 GR_ARC.GAPI                                :7       ARC GAMMA RAY
 ROP5.M/HR                                  :8       RATE OF PENETRATION AVERAGED OVER THE LAST 5 FT (1_5 M)
~Ascii          DEPT                CHRP                CHRS                DTCO                DTRP                DTSM                DTRS              GR_ARC                ROP5
          1984.00000          -999.25000          -999.25000           308.93555           308.93555          -999.25000          -999.25000           143.57053          -999.25000
          1984.15240             0.94585          -999.25000           319.03116           319.03116          -999.25000          -999.25000           142.29915          -999.25000
          1984.30480             0.91320          -999.25000           327.65509           327.65509          -999.25000          -999.25000           134.42485          -999.25000
          1984.45720             0.82808          -999.25000           326.97842           326.97842          -999.25000          -999.25000           141.12718          -999.25000
          1984.60960             0.71075          -999.25000           319.52417           319.52417          -999.25000          -999.25000           148.73868          -999.25000
          1984.76200             0.65700          -999.25000           330.44058           330.44058          -999.25000          -999.25000           142.38020          -999.25000
          1984.91440             0.83826          -999.25000           360.75555           360.75555          -999.25000          -999.25000           137.63896          -999.25000
          1985.06680             0.86102          -999.25000           377.09814           377.09814          -999.25000          -999.25000           156.22324          -999.25000
          1985.21920             0.82722          -999.25000           359.46777           359.46777          -999.25000          -999.25000           178.96384          -999.25000
          1985.37160             0.78520             0.94093           330.49316           330.49316           630.35669           630.35669           183.05423          -999.25000
          1985.52400             0.77459             0.94351           324.45041           324.45041           630.89972           630.89972           143.17963          -999.25000
          1985.67640             0.76457             0.93387           322.32083           322.32083           632.39062           632.39062           122.24305            32.73126
          1985.82880             0.76489             0.92533           321.73856           321.73856           635.16724           635.16724           126.51166            21.16436
          1985.98120             0.79945             0.91699           317.58969           317.58969           638.65143           638.65143           122.72531            17.18589
          1986.13360             0.79839             0.89767           315.98138           315.98138           637.12231           637.12231           120.95303            18.06560
          1986.28600             0.81558             0.90963           315.61826           315.61826           633.51001           633.51001           121.05219            18.33150
          1986.43840             0.83725             0.93129           313.61880           313.61880           631.04620           631.04620           114.38956            18.08166
          1986.59080             0.82666             0.93500           310.92920           310.92920           626.23407           626.23407           110.77005            17.09928
          1986.74320             0.82829             0.92732           310.71835           310.71835           620.50317           620.50317           108.31586            17.47363
          1986.89560             0.80366             0.93153           310.16431           310.16431           620.29858           620.29858           113.35254            19.32933
          1987.04800             0.78666             0.93743           309.24722           309.24722           624.45514           624.45514           119.52758            20.02773
          1987.20040             0.80070             0.94530           316.01501           316.01501           630.24115           630.24115           110.76280            16.13969
          1987.35280             0.79941             0.95055           322.88516           322.88516           634.55585           634.55585           108.35852            12.79992
          1987.50520             0.78391             0.94535           323.51151           323.51151           638.20959           638.20959           109.69356            12.78935
          1987.65760             0.77762             0.93694           323.25424           323.25424           640.48163           640.48163           106.17696            19.20734
          1987.81000             0.79868             0.93957           321.53293           321.53293           638.23773           638.23773           111.49654            31.55672
          1987.96240             0.79921             0.93753           318.98694           318.98694           638.26019           638.26019           108.59407            40.88985
          1988.11480             0.78612             0.93277           318.51617           318.51617           637.77466           637.77466           108.90435            42.47554
          1988.26720             0.81262             0.93576           322.01385           322.01385           638.07043           638.07043           110.88536            41.86310
          1988.41960             0.82361             0.93870           322.42499           322.42499           638.57336           638.57336           111.22179            40.08485
